injected,dropped,trial,accepted,prefix_removed,ext_missing,status,received
0,1,65,False,False,False,packet_rejected,0
0,1,66,False,False,False,packet_rejected,0
0,1,67,False,False,False,packet_rejected,0
0,1,68,False,False,False,packet_rejected,0
0,1,69,False,False,False,packet_rejected,0
0,1,70,False,False,False,packet_rejected,0
0,1,71,False,False,False,packet_rejected,0
0,1,72,False,False,False,packet_rejected,0
0,1,73,False,False,False,packet_rejected,0
0,1,74,False,False,False,packet_rejected,0
0,1,75,False,False,False,packet_rejected,0
0,1,76,False,False,False,packet_rejected,0
0,1,77,False,False,False,packet_rejected,0
0,1,78,False,False,False,packet_rejected,0
0,1,79,False,False,False,packet_rejected,0
0,1,80,False,False,False,packet_rejected,0
0,1,81,False,False,False,packet_rejected,0
0,1,82,False,False,False,packet_rejected,0
0,1,83,False,False,False,packet_rejected,0
0,1,84,False,False,False,packet_rejected,0
0,1,85,False,False,False,packet_rejected,0
0,1,86,False,False,False,packet_rejected,0
0,1,87,False,False,False,packet_rejected,0
0,1,88,False,False,False,packet_rejected,0
0,1,89,False,False,False,packet_rejected,0
0,1,90,False,False,False,packet_rejected,0
0,1,91,False,False,False,packet_rejected,0
0,1,92,False,False,False,packet_rejected,0
0,1,93,False,False,False,packet_rejected,0
0,1,94,False,False,False,packet_rejected,0
0,1,95,False,False,False,packet_rejected,0
0,1,96,False,False,False,packet_rejected,0
0,1,97,False,False,False,packet_rejected,0
0,1,98,False,False,False,packet_rejected,0
0,1,99,False,False,False,packet_rejected,0
0,2,0,False,False,False,packet_rejected,0
0,2,1,False,False,False,packet_rejected,0
0,2,2,False,False,False,packet_rejected,0
0,2,3,False,False,False,packet_rejected,0
0,2,4,False,False,False,packet_rejected,0
0,2,5,False,False,False,packet_rejected,0
0,2,6,False,False,False,packet_rejected,0
0,2,7,False,False,False,packet_rejected,0
0,2,8,False,False,False,packet_rejected,0
0,2,9,False,False,False,packet_rejected,0
0,2,10,False,False,False,packet_rejected,0
0,2,11,False,False,False,packet_rejected,0
0,2,12,False,False,False,packet_rejected,0
0,2,13,False,False,False,packet_rejected,0
0,2,14,False,False,False,packet_rejected,0
0,2,15,False,False,False,packet_rejected,0
0,2,16,False,False,False,packet_rejected,0
0,2,17,False,False,False,packet_rejected,0
0,2,18,False,False,False,packet_rejected,0
0,2,19,False,False,False,packet_rejected,0
0,2,20,False,False,False,packet_rejected,0
0,2,21,False,False,False,packet_rejected,0
0,2,22,False,False,False,packet_rejected,0
0,2,23,False,False,False,packet_rejected,0
0,2,24,False,False,False,packet_rejected,0
0,2,25,False,False,False,packet_rejected,0
0,2,26,False,False,False,packet_rejected,0
0,2,27,False,False,False,packet_rejected,0
0,2,28,False,False,False,packet_rejected,0
0,2,29,False,False,False,packet_rejected,0
0,2,30,False,False,False,packet_rejected,0
0,2,31,False,False,False,packet_rejected,0
0,2,32,False,False,False,packet_rejected,0
0,2,33,False,False,False,packet_rejected,0
0,2,34,False,False,False,packet_rejected,0
0,2,35,False,False,False,packet_rejected,0
0,2,36,False,False,False,packet_rejected,0
0,2,37,False,False,False,packet_rejected,0
0,2,38,False,False,False,packet_rejected,0
0,2,39,False,False,False,packet_rejected,0
0,2,40,False,False,False,packet_rejected,0
0,2,41,False,False,False,packet_rejected,0
0,2,42,False,False,False,packet_rejected,0
0,2,43,False,False,False,packet_rejected,0
0,2,44,False,False,False,packet_rejected,0
0,2,45,False,False,False,packet_rejected,0
0,2,46,False,False,False,packet_rejected,0
0,2,47,False,False,False,packet_rejected,0
0,2,48,False,False,False,packet_rejected,0
0,2,49,False,False,False,packet_rejected,0
0,2,50,False,False,False,packet_rejected,0
0,2,51,False,False,False,packet_rejected,0
0,2,52,False,False,False,packet_rejected,0
0,2,53,False,False,False,packet_rejected,0
0,2,54,False,False,False,packet_rejected,0
0,2,55,False,False,False,packet_rejected,0
0,2,56,False,False,False,packet_rejected,0
0,2,57,False,False,False,packet_rejected,0
0,2,58,False,False,False,packet_rejected,0
0,2,59,False,False,False,packet_rejected,0
0,2,60,False,False,False,packet_rejected,0
0,2,61,False,False,False,packet_rejected,0
0,2,62,False,False,False,packet_rejected,0
0,2,63,False,False,False,packet_rejected,0
0,2,64,False,False,False,packet_rejected,0
0,2,65,False,False,False,packet_rejected,0
0,2,66,False,False,False,packet_rejected,0
0,2,67,False,False,False,packet_rejected,0
0,2,68,False,False,False,packet_rejected,0
0,2,69,False,False,False,packet_rejected,0
0,2,70,False,False,False,packet_rejected,0
0,2,71,False,False,False,packet_rejected,0
0,2,72,False,False,False,packet_rejected,0
0,2,73,False,False,False,packet_rejected,0
0,2,74,False,False,False,packet_rejected,0
0,2,75,False,False,False,packet_rejected,0
0,2,76,False,False,False,packet_rejected,0
0,2,77,False,False,False,packet_rejected,0
0,2,78,False,False,False,packet_rejected,0
0,2,79,False,False,False,packet_rejected,0
0,2,80,False,False,False,packet_rejected,0
0,2,81,False,False,False,packet_rejected,0
0,2,82,False,False,False,packet_rejected,0
0,2,83,False,False,False,packet_rejected,0
0,2,84,False,False,False,packet_rejected,0
0,2,85,False,False,False,packet_rejected,0
0,2,86,False,False,False,packet_rejected,0
0,2,87,False,False,False,packet_rejected,0
0,2,88,False,False,False,packet_rejected,0
0,2,89,False,False,False,packet_rejected,0
0,2,90,False,False,False,packet_rejected,0
0,2,91,False,False,False,packet_rejected,0
0,2,92,False,False,False,packet_rejected,0
0,2,93,False,False,False,packet_rejected,0
0,2,94,False,False,False,packet_rejected,0
0,2,95,False,False,False,packet_rejected,0
0,2,96,False,False,False,packet_rejected,0
0,2,97,False,False,False,packet_rejected,0
0,2,98,False,False,False,packet_rejected,0
0,2,99,False,False,False,packet_rejected,0
0,3,0,False,False,False,packet_rejected,0
0,3,1,False,False,False,packet_rejected,0
0,3,2,False,False,False,packet_rejected,0
0,3,3,False,False,False,packet_rejected,0
0,3,4,False,False,False,packet_rejected,0
0,3,5,False,False,False,packet_rejected,0
0,3,6,False,False,False,packet_rejected,0
0,3,7,False,False,False,packet_rejected,0
